1435619586.73 	 Investigado r2: Pero no pasa nada	
1435619588.73 	 Pcd: Pero es que yo no quiero ir porque no me han dado de comer	
1435619590.73 	 Investigador 2:¿ No le han dado de comer? pero si ya le dieron su aguita quiere decir que ya!!	
1435619596.73 	Participante: Hola señora ******?	
1435619597.73 	 Investigador 2: ¿Se acuerda de de mi amiga?	
1435619599.73 	 Pcd: Noo no se quién sea	
1435619600.73 	 Investigador 2: *****? ella se llama *****? ujumm	
1435619603.73 	 Pcd:  Y ni se quién sean ellos	
1435619605.73 	 Investigador 2: Ah ellos están ahí nada más, no les haga caso	
1435619608.73 	(Incomprensible)	
1435619611.73 	 Pcd: Quiero ir a comer	
1435619612.73 	 Investigador 2: Ahorita va ir a comer	
1435619613.73 	 Pcd: Noo yo no hago nada si no me llevan a comer	
1435619616.73 	 Investigador 2: ¿En serio?	
1435619617.73 	 Pcd: Mamá!!!!	
1435619618.73 	 Investigador 2: Ahorita viene (incomporensible)	
1435619622.73 	 Participante: Hola señora ******? ¿Cómo está?	1
1435619624.73 	 Pcd: Mal,  mal porque no me dan de comer	1
1435619626.73 	Participante: Pero ya le dieron de comer	1
1435619627.73 	 Pcd: Noo no me han dado!!	1
1435619629.73 	Participante: Síiiiiiiii	1
1435619629.73 	Pcd:¿ Y uste que está haciendo aquí?	1
1435619631.73 	Participante: Pos venimos a jugar con uste	1
1435619632.73 	Pcd: No pero yo no quiero jugar	1
1435619634.73 	 Participante: Ujjjjjmmmm ¿No quiere jugar?	1
1435619635.73 	 Pcd: No yo  no quiero juga	1
1435619636.73 	Participante: ¿En serio?	1
1435619637.73 	Pcd: Noo 	1
1435619638.73 	Participante: Mire	1
1435619638.73 	Pcd: quiero irme a mi casa	3
1435619640.73 	Pcd: ¿Mi mamá dónde está?	3
1435619642.73 	Participante: Vamos a jugar	3
1435619644.73 	Participante: Salió	3
1435619644.73 	Pcd: Sí salio pero no me dejó la comida¡¡¡	2
1435619646.73 	 Pcd: Desde ayer no me dan comida	2
1435619648.73 	Participante:  Noo, sí, sí le dieron 	2
1435619649.73 	Pcd: Noo no me dieron comida  ayer	2
1435619651.73 	Participante: Sí le dieron	2
1435619652.73 	Pcd: Ni me dieron cena tampoco	2
1435619654.73 	Pcd: Nomás me tienen con pura agua y el agua no me gusta ya	2
1435619657.73 	Participante: Nooo sí	2
1435619658.73 	Pcd: Noo	2
1435619660.73 	Participante: ¿Y no le gusta el agua?	-
1435619663.73 	Pcd: Tengo que tomarmela para que se me quite el hambre	-
1435619668.73 	Pcd: M e voy a comer un pollo entero	-
1435619670.73 	 Participante: Ajjjjjjj, cuando terminemos de jugar se come un pollo entero	1
